Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2019-03-29,4068.30,4113.50,4034.10,4098.37,3448.04,3547.89,3336.27,3450.55
2019-03-28,4087.58,4094.90,4040.27,4069.11,3445.31,3545.12,3333.56,3447.80
2019-03-27,3984.24,4087.07,3977.81,4087.07,3442.56,3542.36,3330.84,3445.06
2019-03-26,3969.23,3985.08,3944.75,3985.08,3439.88,3539.61,3328.17,3442.31
2019-03-25,4024.11,4038.84,3934.03,3963.07,3437.22,3536.94,3325.52,3439.63
2019-03-24,4035.16,4040.70,4006.19,4022.17,3434.51,3534.22,3322.88,3436.97
2019-03-23,4022.71,4049.88,4015.96,4035.83,3431.80,3531.51,3320.19,3434.27
2019-03-22,4028.51,4053.91,4021.54,4023.97,3429.10,3528.79,3317.49,3431.56
2019-03-21,4083.95,4097.36,4005.15,4029.33,3426.39,3526.07,3314.78,3428.85
2019-03-20,4070.79,4089.46,4031.11,4087.48,3423.64,3523.31,3312.09,3426.15
2019-03-19,4032.69,4082.22,4023.81,4071.19,3420.90,3520.55,3309.38,3423.39
2019-03-18,4029.97,4071.56,4009.12,4032.51,3418.19,3517.81,3306.67,3420.65
2019-03-17,4047.72,4054.12,4006.41,4025.23,3415.48,3515.07,3303.97,3417.94
2019-03-16,3963.90,4077.04,3961.66,4048.73,3412.75,3512.34,3301.28,3415.23
2019-03-15,3926.66,3968.54,3914.02,3960.91,3410.09,3509.60,3298.61,3412.51
2019-03-14,3905.58,3946.50,3901.30,3924.37,3407.46,3506.93,3295.99,3409.85
2019-03-13,3913.05,3926.60,3891.90,3906.72,3404.83,3504.28,3293.37,3407.21
2019-03-12,3903.76,3926.89,3863.56,3909.16,3402.21,3501.65,3290.76,3404.59
2019-03-11,3953.74,3966.38,3889.24,3905.23,3399.60,3499.02,3288.17,3401.97
2019-03-10,3966.17,3966.17,3924.38,3951.60,3396.94,3496.36,3285.56,3399.35
2019-03-09,3894.55,3987.24,3892.39,3963.31,3394.28,3493.71,3282.93,3396.70
2019-03-08,3913.23,3950.43,3875.23,3901.13,3391.68,3491.03,3280.32,3394.05
2019-03-07,3903.38,3939.37,3894.11,3911.48,3389.05,3488.39,3277.72,3391.43
2019-03-06,3897.08,3919.51,3871.46,3903.94,3386.43,3485.75,3275.10,3388.81
2019-03-05,3759.83,3903.92,3745.18,3896.38,3383.81,3483.12,3272.50,3386.18
2019-03-04,3845.09,3867.38,3733.75,3761.56,3381.30,3480.50,3269.99,3383.57
2019-03-03,3862.27,3875.48,3836.91,3847.18,3378.72,3477.91,3267.49,3381.05
2019-03-02,3855.32,3874.61,3832.13,3864.42,3376.13,3475.31,3264.92,3378.48
2019-03-01,3853.76,3907.80,3851.69,3859.58,3373.54,3472.72,3262.35,3375.89
2019-02-28,3848.26,3906.06,3845.82,3854.79,3370.96,3470.09,3259.76,3373.29
2019-02-27,3857.48,3888.80,3787.06,3851.05,3368.37,3467.48,3257.18,3370.71
2019-02-26,3878.70,3891.58,3837.99,3854.36,3365.78,3464.86,3254.63,3368.12
2019-02-25,3807.00,3913.71,3807.00,3882.70,3363.17,3462.24,3252.05,3365.53
2019-02-24,4145.46,4210.64,3793.71,3810.43,3360.61,3459.62,3249.49,3362.92
2019-02-23,3998.92,4166.29,3968.73,4142.53,3357.81,3456.77,3246.93,3360.35
2019-02-22,3952.41,4006.54,3950.82,4005.53,3355.12,3453.96,3244.26,3357.56
2019-02-21,4000.26,4010.01,3940.11,3954.12,3352.46,3451.27,3241.60,3354.86
2019-02-20,3946.69,4000.49,3926.25,3999.82,3349.77,3448.57,3238.95,3352.21
2019-02-19,3911.66,4010.88,3908.15,3947.09,3347.12,3445.88,3236.31,3349.52
2019-02-18,3671.37,3936.67,3669.98,3915.71,3344.49,3443.19,3233.68,3346.86
2019-02-17,3633.36,3680.54,3619.18,3673.84,3342.02,3440.54,3231.22,3344.23
2019-02-16,3615.27,3652.84,3615.27,3629.79,3339.59,3438.07,3228.79,3341.76
2019-02-15,3617.37,3647.80,3608.21,3620.81,3337.17,3435.62,3226.37,3339.33
2019-02-14,3631.17,3646.26,3607.70,3616.88,3334.74,3433.18,3223.95,3336.90
2019-02-13,3653.60,3669.75,3617.25,3632.07,3332.31,3430.74,3221.53,3334.48
2019-02-12,3642.75,3668.59,3618.56,3653.53,3329.86,3428.28,3219.11,3332.05
2019-02-11,3695.61,3695.61,3642.29,3648.43,3327.42,3425.82,3216.68,3329.59
